arm,pA,pB,pC,pD,totalN,drift,totalN less,max rate (check if exceed 1 at the end)
2,0.4,0.1,0,0,86,1,86,0.4
2,0.4,0.05,0,0,65,1,65,0.4
2,0.4,0.02,0,0,57,1,57,0.4
2,0.4,0.1,0,0,86,1.5,86,0.6
2,0.4,0.05,0,0,65,1.5,65,0.6
2,0.4,0.02,0,0,57,1.5,57,0.6
2,0.4,0.1,0,0,86,2,86,0.8
2,0.4,0.05,0,0,65,2,65,0.8
2,0.4,0.02,0,0,57,2,57,0.8
2,0.3,0.1,0,0,156,1,156,0.3
2,0.3,0.05,0,0,103,1,103,0.3
2,0.3,0.02,0,0,85,1,85,0.3
2,0.3,0.1,0,0,156,1.5,156,0.45
2,0.3,0.05,0,0,103,1.5,103,0.45
2,0.3,0.02,0,0,85,1.5,85,0.45
2,0.3,0.1,0,0,156,2,156,0.6
2,0.3,0.05,0,0,103,2,103,0.6
2,0.3,0.02,0,0,85,2,85,0.6
2,0.3,0.1,0,0,156,3,156,0.9
2,0.3,0.05,0,0,103,3,103,0.9
2,0.3,0.02,0,0,85,3,85,0.9
2,0.2,0.1,0,0,456,1,456,0.2
2,0.2,0.05,0,0,202,1,202,0.2
2,0.2,0.02,0,0,146,1,146,0.2
2,0.2,0.1,0,0,456,1.5,456,0.3
2,0.2,0.05,0,0,202,1.5,202,0.3
2,0.2,0.02,0,0,146,1.5,146,0.3
2,0.2,0.1,0,0,456,2,456,0.4
2,0.2,0.05,0,0,202,2,202,0.4
2,0.2,0.02,0,0,146,2,146,0.4
2,0.2,0.1,0,0,456,3,456,0.6
2,0.2,0.05,0,0,202,3,202,0.6
2,0.2,0.02,0,0,146,3,146,0.6
2,0.2,0.1,0,0,456,4,456,0.8
2,0.2,0.05,0,0,202,4,202,0.8
2,0.2,0.02,0,0,146,4,146,0.8
